dist,camp
0.00,5.63
0.00,2.41
0.00,5.19
0.00,6.35
0.00,4.37
0.00,7.1
0.01,4
0.01,3.68
0.01,4.83
0.01,5.98
0.01,5.36
0.01,4.27
0.01,6.34
0.01,5.24
0.02,4.51
0.02,5.91
0.03,4.52
0.03,5.02
0.03,4.38
0.03,2.59
0.03,3.32
0.03,3.62
0.03,-1.37
0.05,4.13
0.06,3.33
0.06,0.07
0.07,4.6
0.08,4.24
0.09,2.55
0.10,5.78
0.11,2.06
0.12,5.87
0.12,3.32
0.15,5.88
0.15,5.33
0.15,5.4
0.15,4.39
0.15,5.59
0.15,4.64
0.15,4.26
0.15,5.5
0.15,5.12
0.15,5.49
0.15,4.32
0.15,4.65
0.15,5.6
0.15,4.9
0.15,5.3
0.15,5.22
0.15,5.44
0.15,4.63
0.15,4.58
0.15,4.33
0.15,4.66
0.15,3.65
0.15,4.41
0.15,4.58
0.15,4.64
0.15,4.17
0.15,4.65
0.15,4.58
0.15,4.97
0.15,5.95
0.15,5.78
0.15,4.13
0.15,5.03
0.15,4.15
0.15,5.6
0.15,4.07
0.15,3.85
0.15,5.4
0.15,4.23
0.15,4.72
0.15,4.74
0.15,3.16
0.15,4.31
0.15,5.1
0.15,2.66
0.15,5.63
0.15,1.02
0.15,4.64
0.15,-0.59
0.15,3.51
0.15,-1.12
0.15,5.74
0.15,-1.95
0.15,-1.7
0.15,1.15
0.15,2.25
0.16,5.19
0.16,2.74
0.22,4.12
0.23,5.87
0.27,5.03
0.27,5.23
0.27,3.62
0.27,3.77
0.27,4.64
0.27,4.98
0.30,5.13
0.31,4.24
0.35,4.33
0.36,6.86
0.36,6.61
0.36,3.65
0.36,5.58
0.36,5.58
0.36,5.43
0.39,6.69
0.43,6.37
0.44,5.19
0.48,4.93
0.48,4.17
0.48,5.09
0.48,3.08
0.48,5.47
0.48,4.71
0.50,4.78
0.56,5.78
0.57,5.74
0.63,5.01
0.65,5.1
0.71,5.09
0.71,3.48
0.71,2.32
0.71,5.78
0.71,5.22
0.71,5.17
0.74,5.39
0.78,4.12
0.83,4.13
0.86,5.41
0.91,4.26
0.91,2.74
0.91,5.75
0.91,3.5
0.91,4.6
0.91,7.34
0.94,5.1
0.99,5.44
1.02,6.82
1.08,5.76
1.10,4.65
1.10,4.79
1.10,4.72
1.10,2.99
1.10,3.84
1.10,4.92
1.12,6.65
1.14,5.35
1.16,3.65
1.18,6.35
1.20,5.01
1.22,6.38
1.22,7.34
1.22,5.51
1.22,7.21
1.22,5.15
1.22,6.57
1.25,5.95
1.34,5.93
1.34,5.94
1.34,5.95
1.34,5.35
1.34,5.41
1.34,7.43
1.35,6.27
1.44,6.24
1.48,5.93
1.54,5.66
1.62,6.26
1.63,6.45
1.73,6.95
1.75,6.92
1.83,6.36
1.83,4.39
1.83,5.95
1.83,5.59
1.83,4.45
1.83,6.17
1.88,7.42
1.88,6.13
1.88,4.58
1.88,5.38
1.88,4.92
1.88,5.59
1.92,7.47
1.99,6.48
2.00,6.19
2.09,5.3
2.10,4.89
2.17,4.54
2.21,7.36
2.26,4.86
2.26,5.81
2.26,5.97
2.26,5.91
2.26,5.96
2.26,5.98
2.32,6.47
2.44,6.34
2.44,4.75
2.44,6.43
2.44,5.67
2.44,4.33
2.44,5.19
2.44,6.33
2.57,5.26
2.63,6.65
2.70,6.55
2.82,4.56
2.84,6.21
2.98,5.12
3.01,6.37
3.12,5.26
3.12,7.08
3.12,5.82
3.12,7.11
3.12,6.34
3.12,6.67
3.21,6.72
3.21,7.17
3.21,7.11
3.21,7.81
3.21,8.53
3.21,8.14
3.24,4.66
3.27,7.55
3.34,8.89
3.35,5.21
3.39,7.75
3.46,7.43
3.47,5.72
3.51,8.58
3.51,8.35
3.51,7.34
3.51,9.49
3.51,6.63
3.51,8.88
3.58,5.69
3.61,8.59
3.70,9.98
3.71,8.91
3.71,6.24
3.71,5.79
3.71,6.33
3.71,6.54
3.71,7.7
3.76,7.61
3.81,7.3
3.81,5.37
3.87,8.32
3.90,8.12
3.93,6.23
3.99,8.13
3.99,7.42
3.99,6.57
3.99,6.3
3.99,4.52
3.99,6.2
4.00,8.49
4.00,9.91
4.00,6.78
4.00,7.55
4.00,7.8
4.00,10.59
4.10,6.92
4.19,8.73
4.22,7.29
4.33,7.46
4.38,8.89
4.45,5.97
4.56,6.69
4.57,7.41
4.57,4.3
4.57,7.46
4.57,6.59
4.57,7.17
4.57,7.78
4.73,6.46
4.75,7.27
4.89,6.65
4.94,7.82
4.94,6.55
4.94,9.89
4.94,6.99
4.94,7.85
4.94,6.72
5.04,7.96
5.08,7.21
5.20,7.09
5.22,7.32
5.36,8.74
5.36,7.21
5.36,6.72
5.36,6.22
5.36,6.56
5.36,7.95
5.36,7.81
5.43,7.06
5.49,8.72
5.50,9.85
5.54,7.7
5.61,7.55
5.63,8.56
5.63,7.61
5.63,7.54
5.63,6.6
5.63,7.46
5.63,9.02
5.67,8.93
5.67,5.88
5.67,9.1
5.67,7.91
5.67,6.91
5.67,4.39
5.80,7.65
5.81,8.03
5.93,9.11
